ClienteID,Nombre,Email,Telefono,Ciudad,FechaRegistro,Estado
1,Cliente 1,cliente1@correo.com,3711178002,Bogotá,2024-05-17,Inactivo
2,Cliente 2,cliente2@correo.com,3631969374,Barranquilla,2024-04-30,Inactivo
3,Cliente 3,cliente3@correo.com,3946885253,Medellín,2025-01-23,Activo
4,Cliente 4,cliente4@correo.com,3130437866,Barranquilla,2025-05-14,Inactivo
5,Cliente 5,cliente5@correo.com,3847144854,Barranquilla,2024-01-03,Inactivo
6,Cliente 6,cliente6@correo.com,3734746160,Bogotá,2024-08-22,Inactivo
7,Cliente 7,cliente7@correo.com,3123968184,Bogotá,2024-02-01,Activo
8,Cliente 8,cliente8@correo.com,3837106430,Medellín,2025-01-25,Inactivo
9,Cliente 9,cliente9@correo.com,3666537775,Medellín,2024-01-30,Inactivo
10,Cliente 10,cliente10@correo.com,3693628450,Medellín,2025-05-22,Inactivo
11,Cliente 11,cliente11@correo.com,3826760591,Medellín,2024-08-24,Inactivo
12,Cliente 12,cliente12@correo.com,3123074397,Barranquilla,2024-10-23,Activo
13,Cliente 13,cliente13@correo.com,3775762534,Cali,2024-07-09,Activo
14,Cliente 14,cliente14@correo.com,3874687978,Bucaramanga,2024-12-06,Inactivo
15,Cliente 15,cliente15@correo.com,3991244035,Medellín,2025-06-03,Inactivo
16,Cliente 16,cliente16@correo.com,3730909864,Barranquilla,2024-10-17,Inactivo
17,Cliente 17,cliente17@correo.com,3615639791,Medellín,2024-02-05,Inactivo
18,Cliente 18,cliente18@correo.com,3813762923,Medellín,2025-02-28,Inactivo
19,Cliente 19,cliente19@correo.com,3192843870,Barranquilla,2025-01-18,Activo
20,Cliente 20,cliente20@correo.com,3659353361,Barranquilla,2024-06-16,Inactivo
21,Cliente 21,cliente21@correo.com,3886801296,Bogotá,2025-05-16,Inactivo
22,Cliente 22,cliente22@correo.com,3431280949,Bucaramanga,2024-02-14,Inactivo
23,Cliente 23,cliente23@correo.com,3281026748,Bucaramanga,2024-06-23,Activo
24,Cliente 24,cliente24@correo.com,3927342927,Medellín,2024-01-13,Activo
25,Cliente 25,cliente25@correo.com,3651658122,Cali,2025-02-18,Inactivo
26,Cliente 26,cliente26@correo.com,3389136634,Bucaramanga,2025-04-15,Activo
27,Cliente 27,cliente27@correo.com,3941443398,Bucaramanga,2025-01-27,Activo
28,Cliente 28,cliente28@correo.com,3934723866,Bucaramanga,2025-06-15,Activo
29,Cliente 29,cliente29@correo.com,3160261934,Barranquilla,2025-03-12,Inactivo
30,Cliente 30,cliente30@correo.com,3641939476,Barranquilla,2024-07-23,Inactivo
31,Cliente 31,cliente31@correo.com,3544984939,Cali,2024-12-31,Activo
32,Cliente 32,cliente32@correo.com,3591931376,Bucaramanga,2024-12-05,Activo
33,Cliente 33,cliente33@correo.com,3782224519,Medellín,2024-08-23,Activo
34,Cliente 34,cliente34@correo.com,3957317285,Bucaramanga,2024-04-03,Inactivo
35,Cliente 35,cliente35@correo.com,3822750144,Bogotá,2024-02-03,Activo
36,Cliente 36,cliente36@correo.com,3586403747,Bogotá,2024-01-18,Inactivo
37,Cliente 37,cliente37@correo.com,3388451869,Bogotá,2024-09-12,Activo
38,Cliente 38,cliente38@correo.com,3411690423,Bogotá,2024-12-18,Activo
39,Cliente 39,cliente39@correo.com,3374036219,Bucaramanga,2024-06-12,Activo
40,Cliente 40,cliente40@correo.com,3796002456,Cali,2024-10-06,Inactivo
41,Cliente 41,cliente41@correo.com,3633106007,Barranquilla,2024-11-25,Activo
42,Cliente 42,cliente42@correo.com,3435012742,Barranquilla,2024-01-25,Inactivo
43,Cliente 43,cliente43@correo.com,3954916472,Medellín,2025-03-07,Inactivo
44,Cliente 44,cliente44@correo.com,3372148610,Bucaramanga,2024-04-21,Activo
45,Cliente 45,cliente45@correo.com,3977289657,Bogotá,2025-03-18,Activo
46,Cliente 46,cliente46@correo.com,3526614131,Medellín,2024-01-19,Activo
47,Cliente 47,cliente47@correo.com,3578532923,Bucaramanga,2024-06-13,Inactivo
48,Cliente 48,cliente48@correo.com,3777286096,Bucaramanga,2024-08-13,Inactivo
49,Cliente 49,cliente49@correo.com,3662528443,Bogotá,2024-08-16,Inactivo
50,Cliente 50,cliente50@correo.com,3808480509,Barranquilla,2024-11-24,Activo
51,Cliente 51,cliente51@correo.com,3234951434,Medellín,2024-11-01,Activo
52,Cliente 52,cliente52@correo.com,3175942400,Bogotá,2024-11-09,Inactivo
53,Cliente 53,cliente53@correo.com,3898694394,Medellín,2024-11-01,Inactivo
54,Cliente 54,cliente54@correo.com,3240006408,Bogotá,2024-09-15,Activo
55,Cliente 55,cliente55@correo.com,3712334103,Barranquilla,2024-08-10,Activo
56,Cliente 56,cliente56@correo.com,3140183043,Barranquilla,2025-06-05,Activo
57,Cliente 57,cliente57@correo.com,3206327675,Medellín,2024-12-21,Inactivo
58,Cliente 58,cliente58@correo.com,3628657595,Bogotá,2024-07-17,Inactivo
59,Cliente 59,cliente59@correo.com,3641281164,Barranquilla,2024-10-30,Activo
60,Cliente 60,cliente60@correo.com,3757267817,Barranquilla,2024-11-29,Inactivo
61,Cliente 61,cliente61@correo.com,3268540207,Medellín,2024-01-19,Inactivo
62,Cliente 62,cliente62@correo.com,3464101179,Barranquilla,2024-05-18,Activo
63,Cliente 63,cliente63@correo.com,3824190622,Bogotá,2024-09-29,Inactivo
64,Cliente 64,cliente64@correo.com,3999465742,Bucaramanga,2024-12-18,Inactivo
65,Cliente 65,cliente65@correo.com,3170139784,Bogotá,2024-08-28,Activo
66,Cliente 66,cliente66@correo.com,3282207696,Medellín,2024-05-16,Activo
67,Cliente 67,cliente67@correo.com,3915094797,Cali,2024-10-01,Inactivo
68,Cliente 68,cliente68@correo.com,3463839118,Cali,2025-01-11,Activo
69,Cliente 69,cliente69@correo.com,3352532811,Bucaramanga,2024-10-25,Inactivo
70,Cliente 70,cliente70@correo.com,3722724150,Bucaramanga,2024-05-18,Activo
71,Cliente 71,cliente71@correo.com,3142023890,Barranquilla,2024-11-24,Activo
72,Cliente 72,cliente72@correo.com,3946233595,Medellín,2025-01-24,Activo
73,Cliente 73,cliente73@correo.com,3223146761,Bucaramanga,2024-12-15,Inactivo
74,Cliente 74,cliente74@correo.com,3712871993,Bucaramanga,2024-03-19,Activo
75,Cliente 75,cliente75@correo.com,3386392332,Cali,2024-03-24,Inactivo
76,Cliente 76,cliente76@correo.com,3591525997,Cali,2024-04-27,Activo
77,Cliente 77,cliente77@correo.com,3988809292,Cali,2024-02-16,Activo
78,Cliente 78,cliente78@correo.com,3198444005,Barranquilla,2024-01-15,Activo
79,Cliente 79,cliente79@correo.com,3301779810,Medellín,2024-02-10,Inactivo
80,Cliente 80,cliente80@correo.com,3224079654,Barranquilla,2024-06-14,Activo
81,Cliente 81,cliente81@correo.com,3270665636,Bogotá,2024-09-04,Inactivo
82,Cliente 82,cliente82@correo.com,3965959214,Bucaramanga,2025-01-22,Inactivo
83,Cliente 83,cliente83@correo.com,3864086435,Barranquilla,2024-09-16,Inactivo
84,Cliente 84,cliente84@correo.com,3322924497,Cali,2024-04-12,Activo
85,Cliente 85,cliente85@correo.com,3111280894,Cali,2024-01-28,Inactivo
86,Cliente 86,cliente86@correo.com,3520121951,Cali,2025-04-05,Inactivo
87,Cliente 87,cliente87@correo.com,3168925610,Cali,2024-03-05,Inactivo
88,Cliente 88,cliente88@correo.com,3368502912,Medellín,2024-04-24,Inactivo
89,Cliente 89,cliente89@correo.com,3378191471,Medellín,2024-12-30,Activo
90,Cliente 90,cliente90@correo.com,3313906447,Medellín,2024-11-10,Inactivo
91,Cliente 91,cliente91@correo.com,3980443654,Cali,2024-03-24,Activo
92,Cliente 92,cliente92@correo.com,3197161220,Bucaramanga,2025-04-03,Inactivo
93,Cliente 93,cliente93@correo.com,3519273144,Cali,2024-08-20,Activo
94,Cliente 94,cliente94@correo.com,3300588772,Cali,2024-12-01,Inactivo
95,Cliente 95,cliente95@correo.com,3458987767,Bogotá,2024-09-08,Activo
96,Cliente 96,cliente96@correo.com,3336390092,Bogotá,2024-09-07,Activo
97,Cliente 97,cliente97@correo.com,3177661096,Cali,2025-02-15,Activo
98,Cliente 98,cliente98@correo.com,3123100565,Bogotá,2024-03-17,Inactivo
99,Cliente 99,cliente99@correo.com,3629635014,Barranquilla,2025-01-02,Activo
100,Cliente 100,cliente100@correo.com,3638405914,Cali,2024-04-13,Activo
101,Cliente 101,cliente101@correo.com,3814304008,Medellín,2025-06-05,Activo
102,Cliente 102,cliente102@correo.com,3251975458,Cali,2024-06-02,Inactivo
103,Cliente 103,cliente103@correo.com,3861630836,Bucaramanga,2024-04-19,Inactivo
104,Cliente 104,cliente104@correo.com,3321985979,Medellín,2024-05-09,Activo
105,Cliente 105,cliente105@correo.com,3981574076,Bucaramanga,2024-11-19,Activo
106,Cliente 106,cliente106@correo.com,3420969752,Barranquilla,2024-07-01,Activo
